PassengerId,Survived,Sex,Age,Fare,Embarked,Title
1,0,male,22.0,7.25,S,0
2,1,female,38.0,71.2833,C,2
3,1,female,26.0,7.925,S,1
4,1,female,35.0,53.1,S,2
5,0,male,35.0,8.05,S,0
6,0,male,30.0,8.4583,Q,0
7,0,male,54.0,51.8625,S,0
8,0,male,2.0,21.075,S,3
9,1,female,27.0,11.1333,S,2
10,1,female,14.0,30.0708,C,2
11,1,female,4.0,16.7,S,1
12,1,female,58.0,26.55,S,1
13,0,male,20.0,8.05,S,0
14,0,male,39.0,31.275,S,0
15,0,female,14.0,7.8542,S,1
16,1,female,55.0,16.0,S,2
17,0,male,2.0,29.125,Q,3
18,1,male,30.0,13.0,S,0
19,0,female,31.0,18.0,S,2
20,1,female,35.0,7.225,C,2
21,0,male,35.0,26.0,S,0
22,1,male,34.0,13.0,S,0
23,1,female,15.0,8.0292,Q,1
24,1,male,28.0,35.5,S,0
25,0,female,8.0,21.075,S,1
26,1,female,38.0,31.3875,S,2
27,0,male,30.0,7.225,C,0
28,0,male,19.0,263.0,S,0
29,1,female,21.0,7.8792,Q,1
30,0,male,30.0,7.8958,S,0
31,0,male,40.0,27.7208,C,3
32,1,female,35.0,146.5208,C,2
33,1,female,21.0,7.75,Q,1
34,0,male,66.0,10.5,S,0
35,0,male,28.0,82.1708,C,0
36,0,male,42.0,52.0,S,0
37,1,male,30.0,7.2292,C,0
38,0,male,21.0,8.05,S,0
39,0,female,18.0,18.0,S,1
40,1,female,14.0,11.2417,C,1
41,0,female,40.0,9.475,S,2
42,0,female,27.0,21.0,S,2
43,0,male,30.0,7.8958,C,0
44,1,female,3.0,41.5792,C,1
45,1,female,19.0,7.8792,Q,1
46,0,male,30.0,8.05,S,0
47,0,male,30.0,15.5,Q,0
48,1,female,21.0,7.75,Q,1
49,0,male,30.0,21.6792,C,0
50,0,female,18.0,17.8,S,2
51,0,male,7.0,39.6875,S,3
52,0,male,21.0,7.8,S,0
53,1,female,49.0,76.7292,C,2
54,1,female,29.0,26.0,S,2
55,0,male,65.0,61.9792,C,0
56,1,male,30.0,35.5,S,0
57,1,female,21.0,10.5,S,1
58,0,male,28.5,7.2292,C,0
59,1,female,5.0,27.75,S,1
60,0,male,11.0,46.9,S,3
61,0,male,22.0,7.2292,C,0
62,1,female,38.0,80.0,S,1
63,0,male,45.0,83.475,S,0
64,0,male,4.0,27.9,S,3
65,0,male,30.0,27.7208,C,0
66,1,male,9.0,15.2458,C,3
67,1,female,29.0,10.5,S,2
68,0,male,19.0,8.1583,S,0
69,1,female,17.0,7.925,S,1
70,0,male,26.0,8.6625,S,0
71,0,male,32.0,10.5,S,0
72,0,female,16.0,46.9,S,1
73,0,male,21.0,73.5,S,0
74,0,male,26.0,14.4542,C,0
75,1,male,32.0,56.4958,S,0
76,0,male,25.0,7.65,S,0
77,0,male,30.0,7.8958,S,0
78,0,male,30.0,8.05,S,0
79,1,male,0.83,29.0,S,3
80,1,female,30.0,12.475,S,1
81,0,male,22.0,9.0,S,0
82,1,male,29.0,9.5,S,0
83,1,female,21.0,7.7875,Q,1
84,0,male,28.0,47.1,S,0
85,1,female,17.0,10.5,S,1
86,1,female,33.0,15.85,S,2
87,0,male,16.0,34.375,S,0
88,0,male,30.0,8.05,S,0
89,1,female,23.0,263.0,S,1
90,0,male,24.0,8.05,S,0
91,0,male,29.0,8.05,S,0
92,0,male,20.0,7.8542,S,0
93,0,male,46.0,61.175,S,0
94,0,male,26.0,20.575,S,0
95,0,male,59.0,7.25,S,0
96,0,male,30.0,8.05,S,0
97,0,male,71.0,34.6542,C,0
98,1,male,23.0,63.3583,C,0
99,1,female,34.0,23.0,S,2
100,0,male,34.0,26.0,S,0
101,0,female,28.0,7.8958,S,1
102,0,male,30.0,7.8958,S,0
103,0,male,21.0,77.2875,S,0
104,0,male,33.0,8.6542,S,0
105,0,male,37.0,7.925,S,0
106,0,male,28.0,7.8958,S,0
107,1,female,21.0,7.65,S,1
108,1,male,30.0,7.775,S,0
109,0,male,38.0,7.8958,S,0
110,1,female,21.0,24.15,Q,1
111,0,male,47.0,52.0,S,0
112,0,female,14.5,14.4542,C,1
113,0,male,22.0,8.05,S,0
114,0,female,20.0,9.825,S,1
115,0,female,17.0,14.4583,C,1
116,0,male,21.0,7.925,S,0
117,0,male,70.5,7.75,Q,0
118,0,male,29.0,21.0,S,0
119,0,male,24.0,247.5208,C,0
120,0,female,2.0,31.275,S,1
121,0,male,21.0,73.5,S,0
122,0,male,30.0,8.05,S,0
123,0,male,32.5,30.0708,C,0
124,1,female,32.5,13.0,S,1
125,0,male,54.0,77.2875,S,0
126,1,male,12.0,11.2417,C,3
127,0,male,30.0,7.75,Q,0
128,1,male,24.0,7.1417,S,0
129,1,female,21.0,22.3583,C,1
130,0,male,45.0,6.975,S,0
131,0,male,33.0,7.8958,C,0
132,0,male,20.0,7.05,S,0
133,0,female,47.0,14.5,S,2
134,1,female,29.0,26.0,S,2
135,0,male,25.0,13.0,S,0
136,0,male,23.0,15.0458,C,0
137,1,female,19.0,26.2833,S,1
138,0,male,37.0,53.1,S,0
139,0,male,16.0,9.2167,S,0
140,0,male,24.0,79.2,C,0
141,0,female,35.0,15.2458,C,2
142,1,female,22.0,7.75,S,1
143,1,female,24.0,15.85,S,2
144,0,male,19.0,6.75,Q,0
145,0,male,18.0,11.5,S,0
146,0,male,19.0,36.75,S,0
147,1,male,27.0,7.7958,S,0
148,0,female,9.0,34.375,S,1
149,0,male,36.5,26.0,S,0
150,0,male,42.0,13.0,S,3
151,0,male,51.0,12.525,S,3
152,1,female,22.0,66.6,S,2
153,0,male,55.5,8.05,S,0
154,0,male,40.5,14.5,S,0
155,0,male,30.0,7.3125,S,0
156,0,male,51.0,61.3792,C,0
157,1,female,16.0,7.7333,Q,1
158,0,male,30.0,8.05,S,0
159,0,male,30.0,8.6625,S,0
160,0,male,9.0,69.55,S,3
161,0,male,44.0,16.1,S,0
162,1,female,40.0,15.75,S,2
163,0,male,26.0,7.775,S,0
164,0,male,17.0,8.6625,S,0
165,0,male,1.0,39.6875,S,3
166,1,male,9.0,20.525,S,3
167,1,female,35.0,55.0,S,2
168,0,female,45.0,27.9,S,2
169,0,male,30.0,25.925,S,0
170,0,male,28.0,56.4958,S,0
171,0,male,61.0,33.5,S,0
172,0,male,4.0,29.125,Q,3
173,1,female,1.0,11.1333,S,1
174,0,male,21.0,7.925,S,0
175,0,male,56.0,30.6958,C,0
176,0,male,18.0,7.8542,S,0
177,0,male,9.0,25.4667,S,3
178,0,female,50.0,28.7125,C,1
179,0,male,30.0,13.0,S,0
180,0,male,36.0,0.0,S,0
181,0,female,21.0,69.55,S,1
182,0,male,30.0,15.05,C,0
183,0,male,9.0,31.3875,S,3
184,1,male,1.0,39.0,S,3
185,1,female,4.0,22.025,S,1
186,0,male,30.0,50.0,S,0
187,1,female,35.0,15.5,Q,2
188,1,male,45.0,26.55,S,0
189,0,male,40.0,15.5,Q,0
190,0,male,36.0,7.8958,S,0
191,1,female,32.0,13.0,S,2
192,0,male,19.0,13.0,S,0
193,1,female,19.0,7.8542,S,1
194,1,male,3.0,26.0,S,3
195,1,female,44.0,27.7208,C,2
196,1,female,58.0,146.5208,C,1
197,0,male,30.0,7.75,Q,0
198,0,male,42.0,8.4042,S,0
199,1,female,21.0,7.75,Q,1
200,0,female,24.0,13.0,S,1
201,0,male,28.0,9.5,S,0
202,0,male,30.0,69.55,S,0
203,0,male,34.0,6.4958,S,0
204,0,male,45.5,7.225,C,0
205,1,male,18.0,8.05,S,0
206,0,female,2.0,10.4625,S,1
207,0,male,32.0,15.85,S,0
208,1,male,26.0,18.7875,C,0
209,1,female,16.0,7.75,Q,1
210,1,male,40.0,31.0,C,0
211,0,male,24.0,7.05,S,0
212,1,female,35.0,21.0,S,1
213,0,male,22.0,7.25,S,0
214,0,male,30.0,13.0,S,0
215,0,male,30.0,7.75,Q,0
216,1,female,31.0,113.275,C,1
217,1,female,27.0,7.925,S,1
218,0,male,42.0,27.0,S,0
219,1,female,32.0,76.2917,C,1
220,0,male,30.0,10.5,S,0
221,1,male,16.0,8.05,S,0
222,0,male,27.0,13.0,S,0
223,0,male,51.0,8.05,S,0
224,0,male,30.0,7.8958,S,0
225,1,male,38.0,90.0,S,0
226,0,male,22.0,9.35,S,0
227,1,male,19.0,10.5,S,0
228,0,male,20.5,7.25,S,0
229,0,male,18.0,13.0,S,0
230,0,female,21.0,25.4667,S,1
231,1,female,35.0,83.475,S,2
232,0,male,29.0,7.775,S,0
233,0,male,59.0,13.5,S,0
234,1,female,5.0,31.3875,S,1
235,0,male,24.0,10.5,S,0
236,0,female,21.0,7.55,S,1
237,0,male,44.0,26.0,S,0
238,1,female,8.0,26.25,S,1
239,0,male,19.0,10.5,S,0
240,0,male,33.0,12.275,S,0
241,0,female,21.0,14.4542,C,1
242,1,female,21.0,15.5,Q,1
243,0,male,29.0,10.5,S,0
244,0,male,22.0,7.125,S,0
245,0,male,30.0,7.225,C,0
246,0,male,44.0,90.0,Q,3
247,0,female,25.0,7.775,S,1
248,1,female,24.0,14.5,S,2
249,1,male,37.0,52.5542,S,0
250,0,male,54.0,26.0,S,3
251,0,male,30.0,7.25,S,0
252,0,female,29.0,10.4625,S,2
253,0,male,62.0,26.55,S,0
254,0,male,30.0,16.1,S,0
255,0,female,41.0,20.2125,S,2
256,1,female,29.0,15.2458,C,2
257,1,female,35.0,79.2,C,2
258,1,female,30.0,86.5,S,1
259,1,female,35.0,512.3292,C,1
260,1,female,50.0,26.0,S,2
261,0,male,30.0,7.75,Q,0
262,1,male,3.0,31.3875,S,3
263,0,male,52.0,79.65,S,0
264,0,male,40.0,0.0,S,0
265,0,female,21.0,7.75,Q,1
266,0,male,36.0,10.5,S,0
267,0,male,16.0,39.6875,S,0
268,1,male,25.0,7.775,S,0
269,1,female,58.0,153.4625,S,2
270,1,female,35.0,135.6333,S,1
271,0,male,30.0,31.0,S,0
272,1,male,25.0,0.0,S,0
273,1,female,41.0,19.5,S,2
274,0,male,37.0,29.7,C,0
275,1,female,21.0,7.75,Q,1
276,1,female,63.0,77.9583,S,1
277,0,female,45.0,7.75,S,1
278,0,male,30.0,0.0,S,0
279,0,male,7.0,29.125,Q,3
280,1,female,35.0,20.25,S,2
281,0,male,65.0,7.75,Q,0
282,0,male,28.0,7.8542,S,0
283,0,male,16.0,9.5,S,0
284,1,male,19.0,8.05,S,0
285,0,male,30.0,26.0,S,0
286,0,male,33.0,8.6625,C,0
287,1,male,30.0,9.5,S,0
288,0,male,22.0,7.8958,S,0
289,1,male,42.0,13.0,S,0
290,1,female,22.0,7.75,Q,1
291,1,female,26.0,78.85,S,1
292,1,female,19.0,91.0792,C,2
293,0,male,36.0,12.875,C,0
294,0,female,24.0,8.85,S,1
295,0,male,24.0,7.8958,S,0
296,0,male,30.0,27.7208,C,0
297,0,male,23.5,7.2292,C,0
298,0,female,2.0,151.55,S,1
299,1,male,30.0,30.5,S,0
300,1,female,50.0,247.5208,C,2
301,1,female,21.0,7.75,Q,1
302,1,male,30.0,23.25,Q,0
303,0,male,19.0,0.0,S,0
304,1,female,21.0,12.35,Q,1
305,0,male,30.0,8.05,S,0
306,1,male,0.92,151.55,S,3
307,1,female,21.0,110.8833,C,1
308,1,female,17.0,108.9,C,2
309,0,male,30.0,24.0,C,0
310,1,female,30.0,56.9292,C,1
311,1,female,24.0,83.1583,C,1
312,1,female,18.0,262.375,C,1
313,0,female,26.0,26.0,S,2
314,0,male,28.0,7.8958,S,0
315,0,male,43.0,26.25,S,0
316,1,female,26.0,7.8542,S,1
317,1,female,24.0,26.0,S,2
318,0,male,54.0,14.0,S,3
319,1,female,31.0,164.8667,S,1
320,1,female,40.0,134.5,C,2
321,0,male,22.0,7.25,S,0
322,0,male,27.0,7.8958,S,0
323,1,female,30.0,12.35,Q,1
324,1,female,22.0,29.0,S,2
325,0,male,30.0,69.55,S,0
326,1,female,36.0,135.6333,C,1
327,0,male,61.0,6.2375,S,0
328,1,female,36.0,13.0,S,2
329,1,female,31.0,20.525,S,2
330,1,female,16.0,57.9792,C,1
331,1,female,21.0,23.25,Q,1
332,0,male,45.5,28.5,S,0
333,0,male,38.0,153.4625,S,0
334,0,male,16.0,18.0,S,0
335,1,female,35.0,133.65,S,2
336,0,male,30.0,7.8958,S,0
337,0,male,29.0,66.6,S,0
338,1,female,41.0,134.5,C,1
339,1,male,45.0,8.05,S,0
340,0,male,45.0,35.5,S,0
341,1,male,2.0,26.0,S,3
342,1,female,24.0,263.0,S,1
343,0,male,28.0,13.0,S,0
344,0,male,25.0,13.0,S,0
345,0,male,36.0,13.0,S,0
346,1,female,24.0,13.0,S,1
347,1,female,40.0,13.0,S,1
348,1,female,35.0,16.1,S,2
349,1,male,3.0,15.9,S,3
350,0,male,42.0,8.6625,S,0
351,0,male,23.0,9.225,S,0
352,0,male,30.0,35.0,S,0
353,0,male,15.0,7.2292,C,0
354,0,male,25.0,17.8,S,0
355,0,male,30.0,7.225,C,0
356,0,male,28.0,9.5,S,0
357,1,female,22.0,55.0,S,1
358,0,female,38.0,13.0,S,1
359,1,female,21.0,7.8792,Q,1
360,1,female,21.0,7.8792,Q,1
361,0,male,40.0,27.9,S,0
362,0,male,29.0,27.7208,C,0
363,0,female,45.0,14.4542,C,2
364,0,male,35.0,7.05,S,0
365,0,male,30.0,15.5,Q,0
366,0,male,30.0,7.25,S,0
367,1,female,60.0,75.25,C,2
368,1,female,35.0,7.2292,C,2
369,1,female,21.0,7.75,Q,1
370,1,female,24.0,69.3,C,3
371,1,male,25.0,55.4417,C,0
372,0,male,18.0,6.4958,S,0
373,0,male,19.0,8.05,S,0
374,0,male,22.0,135.6333,C,0
375,0,female,3.0,21.075,S,1
376,1,female,35.0,82.1708,C,2
377,1,female,22.0,7.25,S,1
378,0,male,27.0,211.5,C,0
379,0,male,20.0,4.0125,C,0
380,0,male,19.0,7.775,S,0
381,1,female,42.0,227.525,C,1
382,1,female,1.0,15.7417,C,1
383,0,male,32.0,7.925,S,0
384,1,female,35.0,52.0,S,2
385,0,male,30.0,7.8958,S,0
386,0,male,18.0,73.5,S,0
387,0,male,1.0,46.9,S,3
388,1,female,36.0,13.0,S,1
389,0,male,30.0,7.7292,Q,0
390,1,female,17.0,12.0,C,1
391,1,male,36.0,120.0,S,0
392,1,male,21.0,7.7958,S,0
393,0,male,28.0,7.925,S,0
394,1,female,23.0,113.275,C,1
395,1,female,24.0,16.7,S,2
396,0,male,22.0,7.7958,S,0
397,0,female,31.0,7.8542,S,1
398,0,male,46.0,26.0,S,0
399,0,male,23.0,10.5,S,3
400,1,female,28.0,12.65,S,2
401,1,male,39.0,7.925,S,0
402,0,male,26.0,8.05,S,0
403,0,female,21.0,9.825,S,1
404,0,male,28.0,15.85,S,0
405,0,female,20.0,8.6625,S,1
406,0,male,34.0,21.0,S,0
407,0,male,51.0,7.75,S,0
408,1,male,3.0,18.75,S,3
409,0,male,21.0,7.775,S,0
410,0,female,21.0,25.4667,S,1
411,0,male,30.0,7.8958,S,0
412,0,male,30.0,6.8583,Q,0
413,1,female,33.0,90.0,Q,1
414,0,male,30.0,0.0,S,0
415,1,male,44.0,7.925,S,0
416,0,female,35.0,8.05,S,2
417,1,female,34.0,32.5,S,2
418,1,female,18.0,13.0,S,1
419,0,male,30.0,13.0,S,0
420,0,female,10.0,24.15,S,1
421,0,male,30.0,7.8958,C,0
422,0,male,21.0,7.7333,Q,0
423,0,male,29.0,7.875,S,0
424,0,female,28.0,14.4,S,2
425,0,male,18.0,20.2125,S,0
426,0,male,30.0,7.25,S,0
427,1,female,28.0,26.0,S,2
428,1,female,19.0,26.0,S,1
429,0,male,30.0,7.75,Q,0
430,1,male,32.0,8.05,S,0
431,1,male,28.0,26.55,S,0
432,1,female,35.0,16.1,S,2
433,1,female,42.0,26.0,S,2
434,0,male,17.0,7.125,S,0
435,0,male,50.0,55.9,S,0
436,1,female,14.0,120.0,S,1
437,0,female,21.0,34.375,S,1
438,1,female,24.0,18.75,S,2
439,0,male,64.0,263.0,S,0
440,0,male,31.0,10.5,S,0
441,1,female,45.0,26.25,S,2
442,0,male,20.0,9.5,S,0
443,0,male,25.0,7.775,S,0
444,1,female,28.0,13.0,S,3
445,1,male,30.0,8.1125,S,0
446,1,male,4.0,81.8583,S,3
